;cve;service;successful;is_vulnerable;evidence;n_iterations;error
0;No Answer;No Answer;No Answer;No Answer;No Answer;27;"parsing error"
0;CVE-2018-7539;Web server on localhost;Failed;False;"*{'frame_number': 7, 'description': ""HTTP GET request attempting directory traversal to access '/etc/passwd'.""}
*{'frame_number': 8, 'description': ""Server's response to the HTTP GET request, no data returned.""}";6;False
0;N/A;HTTP;Failed;False;"*{'frame_number': 8, 'description': ""HTTP GET request attempting directory traversal to access '/etc/passwd'.""}
*{'frame_number': 9, 'description': 'Server response ACK with no data, indicating unsuccessful attack.'}";4;False
0;No Answer;No Answer;No Answer;No Answer;No Answer;16;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 128036 tokens (127987 in the messages, 49 in the functions). Please reduce the length of the messages or functions."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
0;No Answer;No Answer;No Answer;No Answer;No Answer;15;"parsing error"
0;No Answer;No Answer;No Answer;No Answer;No Answer;1;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 139094 tokens (139045 in the messages, 49 in the functions). Please reduce the length of the messages or functions."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
0;CVE-2021-44228;Apache Solr;Failed;False;"*{'frame_number': 8, 'description': 'HTTP GET request with JNDI injection payload'}
*{'frame_number': 10, 'description': ""DNS query to suspicious domain, 'No such name' response""}
*{'frame_number': 11, 'description': ""DNS query to suspicious domain, 'No such name' response""}
*{'frame_number': 12, 'description': ""400 Bad Request error, 'Unsupported operation: ldap://8qvsbr.sdasda1212.cn'""}
*{'frame_number': 17, 'description': ""DNS query to suspicious domain, 'No such name' response""}
*{'frame_number': 18, 'description': ""DNS query to suspicious domain, 'No such name' response""}
*{'frame_number': 19, 'description': ""DNS query to suspicious domain, 'No such name' response""}
*{'frame_number': 20, 'description': ""DNS query to suspicious domain, 'No such name' response""}";15;False
0;No Answer;No Answer;No Answer;No Answer;No Answer;9;
0;No Answer;No Answer;No Answer;No Answer;No Answer;27;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 129344 tokens (129295 in the messages, 49 in the functions). Please reduce the length of the messages or functions."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
0;No Answer;No Answer;No Answer;No Answer;No Answer;1;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 139094 tokens (139045 in the messages, 49 in the functions). Please reduce the length of the messages or functions."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
