;cve;service;successful;is_vulnerable;evidence;n_iterations;error
0;CVE-2017-12635;Erlang Port Mapper Daemon (EPMD);Failed;True;*{'frame_number': 11, 'source_ip': '172.18.0.2', 'destination_ip': '172.18.0.1', 'source_port': 4369, 'destination_port': 53970, 'tcp_payload_length': 26};51;False
0;CVE-2023-31634;Grafana;Failed;False;"*{'frame_number': 48, 'description': 'TCP ACK packet indicating ongoing communication with Grafana server.'}
*{'frame_number': 49, 'description': 'TLSv1.3 Change Cipher Spec message indicating secure communication establishment with Grafana server.'}";51;False
0;CVE-2021-41773;Apache/2.4.49 (Unix);Succeeded;True;"*{'frame_number': 7, 'description': ""HTTP GET request attempting directory traversal to access '/etc/passwd' file.""}
*{'frame_number': 9, 'description': ""HTTP response with 200 OK status, returning contents of '/etc/passwd' file, confirming successful attack.""}";5;False
0;No specific CVE identified, but the attack attempts match patterns of directory traversal vulnerabilities.;Apache/2.4.50;Failed;False;"*{'frame_number': 18, 'description': ""HTTP GET request attempting to access '/etc/shadow'.""}
*{'frame_number': 20, 'description': 'HTTP 400 Bad Request response from the server, indicating the attack was blocked.'}";14;False
0;No Answer;No Answer;No Answer;No Answer;No Answer;27;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 129317 tokens (129268 in the messages, 49 in the functions). Please reduce the length of the messages or functions."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
0;CVE-2019-16065;MySQL;Succeeded;True;"*{'frame_number': 36, 'description': ""Login request with username 'root' and hashed password.""}
*{'frame_number': 38, 'description': 'OK response from MySQL server indicating successful login.'}
*{'frame_number': 42, 'description': 'Response to \'SHOW DATABASES LIKE ""joomla""\' query, confirming database enumeration.'}";23;False
0;CVE-2021-44228;Apache Solr;Failed;True;"*{'frame_number': 8, 'description': ""Contains a GET request with a JNDI injection attempt using LDAP, targeting the domain '8qvsbr.sdasda1212.cn'.""}
*{'frame_number': 10, 'description': ""DNS query for the domain '8qvsbr.sdasda1212.cn'.""}
*{'frame_number': 11, 'description': ""DNS query for the domain '8qvsbr.sdasda1212.cn'.""}
*{'frame_number': 12, 'description': 'Server responded with an HTTP 400 Bad Request, indicating an unsupported operation for the LDAP URL.'}
*{'frame_number': 17, 'description': ""DNS response indicating 'No such name', confirming the failure to resolve the domain.""}
*{'frame_number': 18, 'description': ""DNS response indicating 'No such name', confirming the failure to resolve the domain.""}
*{'frame_number': 19, 'description': ""DNS query for the domain '8qvsbr.sdasda1212.cn.polito.it'.""}
*{'frame_number': 20, 'description': ""DNS query for the domain '8qvsbr.sdasda1212.cn.polito.it'.""}
*{'frame_number': 21, 'description': ""DNS response indicating 'No such name', confirming the failure to resolve the domain.""}
*{'frame_number': 22, 'description': ""DNS response indicating 'No such name', confirming the failure to resolve the domain.""}";21;False
0;CVE-2024-8309, CVE-2024-7042;Web service running on port 80;Failed;True;*{'frame_number': 6, 'tcp_payload_length': 224, 'source_ip': '172.18.0.1', 'destination_ip': '172.18.0.3', 'source_port': 38434, 'destination_port': 80};51;False
0;No Answer;No Answer;No Answer;No Answer;No Answer;50;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 128970 tokens (128921 in the messages, 49 in the functions). Please reduce the length of the messages or functions."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
0;No Answer;No Answer;No Answer;No Answer;No Answer;1;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 139082 tokens (139033 in the messages, 49 in the functions). Please reduce the length of the messages or functions."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
